A,Table A,Title information (filtered),
A,
A,Running EQ6 from EQ3/6-V8.0a (R43a) for PC,
A,---,
A,
A,EQ6 input file name= harzb.rock,
A,Description= 'harzburgite',
A,Version level= 8.0,
A,Revised 08/09/17    Revisor= S.M. Som,
A,,
A,  Harzburgite,
A,,
A,---,
A,
A,data0.com.RX Tucker Ely,
A,CII: DBCreate.2012,
A,Direct-access Thermodynamic Database: dslop16_v5.dat,
A,Generated by: DBCreate; 12/14/2020 07:35:04,
A,+--------------------------------------------------------------------,
A,---,
B1,EndTable:,A,
B1,
B1,
B1,Table B1,Miscellaneous parameters I,
B1,Xi,t(days),Temp(C),Press(bars),pH,pmH,log fO2,Eh(v),pe,aw,
B1,0.000,0.000,300.0000,500.0000,5.4669,5.2236,-8.4711,0.3462,3.0444,0.9867,
B1,1.0000E-08,0.000,300.0000,500.0000,5.4670,5.2236,-19.8411,0.0230,0.2019,0.9867,
B1,3.0000E-08,0.000,300.0000,500.0000,5.4670,5.2236,-23.5998,-0.0839,-0.7378,0.9867,
B1,1.0000E-07,0.000,300.0000,500.0000,5.4670,5.2236,-24.7395,-0.1163,-1.0227,0.9867,
B1,2.9312E-07,0.000,300.0000,500.0000,5.4671,5.2237,-25.7220,-0.1442,-1.2684,0.9867,
B1,8.8341E-07,0.000,300.0000,500.0000,5.4673,5.2239,-26.7646,-0.1739,-1.5293,0.9867,
B1,1.0000E-06,0.000,300.0000,500.0000,5.4673,5.2239,-26.8866,-0.1774,-1.5598,0.9867,
B1,3.0339E-06,0.000,300.0000,500.0000,5.4681,5.2247,-28.0428,-0.2103,-1.8496,0.9867,
B1,8.5669E-06,0.000,300.0000,500.0000,5.4702,5.2268,-29.2193,-0.2440,-2.1459,0.9867,
B1,1.0000E-05,0.000,300.0000,500.0000,5.4707,5.2274,-29.3984,-0.2492,-2.1912,0.9867,
B1,2.7735E-05,0.000,300.0000,500.0000,5.4778,5.2345,-30.5659,-0.2832,-2.4902,0.9867,
B1,7.6226E-05,0.000,300.0000,500.0000,5.4989,5.2555,-31.6542,-0.3165,-2.7833,0.9867,
B1,1.0000E-04,0.000,300.0000,500.0000,5.5101,5.2667,-31.9317,-0.3257,-2.8639,0.9867,
B1,2.8929E-04,0.000,300.0000,500.0000,5.6298,5.3866,-32.9652,-0.3687,-3.2419,0.9867,
B1,5.0485E-04,0.000,300.0000,500.0000,6.0142,5.7712,-33.4812,-0.4271,-3.7554,0.9867,
B1,5.0486E-04,0.000,300.0000,500.0000,6.0140,5.7709,-33.4811,-0.4270,-3.7551,0.9867,
B1,5.1578E-04,0.000,300.0000,500.0000,5.8226,5.5795,-33.3864,-0.4026,-3.5400,0.9867,
B1,5.4731E-04,0.000,300.0000,500.0000,6.0848,5.8418,-33.2441,-0.4284,-3.7667,0.9867,
B1,5.6543E-04,0.000,300.0000,500.0000,6.2543,6.0112,-33.3174,-0.4497,-3.9545,0.9867,
B1,7.7387E-04,0.000,300.0000,500.0000,6.2514,6.0084,-33.5815,-0.4569,-4.0176,0.9867,
B1,1.0000E-03,0.000,300.0000,500.0000,6.2483,6.0052,-33.7946,-0.4626,-4.0678,0.9867,
B1,2.9491E-03,0.000,300.0000,500.0000,6.2203,5.9772,-34.6388,-0.4834,-4.2508,0.9867,
B1,3.1794E-03,0.000,300.0000,500.0000,6.2170,5.9739,-34.6917,-0.4845,-4.2607,0.9867,
B1,3.7934E-03,0.000,300.0000,500.0000,6.2130,5.9699,-34.9367,-0.4910,-4.3180,0.9866,
B1,9.5462E-03,0.000,300.0000,500.0000,6.1858,5.9427,-36.0464,-0.5195,-4.5682,0.9866,
B1,1.0000E-02,0.000,300.0000,500.0000,6.1840,5.9409,-36.0963,-0.5207,-4.5789,0.9866,
B1,1.1852E-02,0.000,300.0000,500.0000,6.1769,5.9338,-36.2744,-0.5250,-4.6163,0.9866,
B1,1.4943E-02,0.000,300.0000,500.0000,6.1295,5.8864,-36.2819,-0.5198,-4.5708,0.9866,
B1,4.7008E-02,0.000,300.0000,500.0000,6.0454,5.8023,-36.2961,-0.5106,-4.4902,0.9865,
B1,0.1000,0.000,300.0000,500.0000,6.0269,5.7837,-36.2940,-0.5085,-4.4712,0.9865,
B1,0.2000,0.000,300.0000,500.0000,6.0150,5.7719,-36.2840,-0.5068,-4.4569,0.9865,
B1,0.3000,0.000,300.0000,500.0000,6.0078,5.7645,-36.2727,-0.5057,-4.4468,0.9865,
B1,0.4000,0.000,300.0000,500.0000,6.0017,5.7584,-36.2609,-0.5047,-4.4378,0.9865,
B1,0.5000,0.000,300.0000,500.0000,5.9962,5.7528,-36.2488,-0.5037,-4.4292,0.9865,
B1,0.6000,0.000,300.0000,500.0000,5.9910,5.7475,-36.2365,-0.5027,-4.4209,0.9865,
B1,0.7000,0.000,300.0000,500.0000,5.9860,5.7424,-36.2239,-0.5018,-4.4127,0.9864,
B1,0.8000,0.000,300.0000,500.0000,5.9811,5.7375,-36.2112,-0.5009,-4.4047,0.9864,
B1,0.9000,0.000,300.0000,500.0000,5.9764,5.7327,-36.1982,-0.5000,-4.3967,0.9864,
B1,1.000,0.000,300.0000,500.0000,5.9718,5.7280,-36.1850,-0.4991,-4.3888,0.9864,
B1,1.000,0.000,300.0000,500.0000,5.9718,5.7280,-36.1850,-0.4991,-4.3888,0.9864,
B2,EndTable:,B1,
B2,
B2,
B2,Table B2,Miscellaneous parameters II,
B2,Xi,t(days),H2O(kg),Alk(eq/kg.H2O),Signam(m),I(m),J(m),TDS(g/kg.sol),TDS(g/L),density(g/L),M/m,
B2,0.000,0.000,0.2000,2.1424E-04,0.8786,0.3840,4.1681E-03,29.3734,0.0000,0.0000,0.0000,
B2,1.0000E-08,0.000,0.2000,2.1423E-04,0.8786,0.3840,4.1681E-03,29.3734,0.0000,0.0000,0.0000,
B2,3.0000E-08,0.000,0.2000,2.1423E-04,0.8786,0.3840,4.1680E-03,29.3734,0.0000,0.0000,0.0000,
B2,1.0000E-07,0.000,0.2000,2.1423E-04,0.8786,0.3840,4.1679E-03,29.3735,0.0000,0.0000,0.0000,
B2,2.9312E-07,0.000,0.2000,2.1421E-04,0.8786,0.3840,4.1675E-03,29.3735,0.0000,0.0000,0.0000,
B2,8.8341E-07,0.000,0.2000,2.1416E-04,0.8786,0.3840,4.1664E-03,29.3737,0.0000,0.0000,0.0000,
B2,1.0000E-06,0.000,0.2000,2.1415E-04,0.8786,0.3840,4.1662E-03,29.3738,0.0000,0.0000,0.0000,
B2,3.0339E-06,0.000,0.2000,2.1398E-04,0.8786,0.3840,4.1623E-03,29.3745,0.0000,0.0000,0.0000,
B2,8.5669E-06,0.000,0.2000,2.1352E-04,0.8786,0.3840,4.1517E-03,29.3764,0.0000,0.0000,0.0000,
B2,1.0000E-05,0.000,0.2000,2.1340E-04,0.8786,0.3840,4.1490E-03,29.3769,0.0000,0.0000,0.0000,
B2,2.7735E-05,0.000,0.2000,2.1199E-04,0.8785,0.3839,4.1151E-03,29.3831,0.0000,0.0000,0.0000,
B2,7.6226E-05,0.000,0.2000,2.0832E-04,0.8784,0.3837,4.0227E-03,29.4000,0.0000,0.0000,0.0000,
B2,1.0000E-04,0.000,0.2000,2.0661E-04,0.8784,0.3835,3.9774E-03,29.4083,0.0000,0.0000,0.0000,
B2,2.8929E-04,0.000,0.2000,1.9714E-04,0.8779,0.3826,3.6174E-03,29.4745,0.0000,0.0000,0.0000,
B2,5.0485E-04,0.000,0.2000,2.7257E-04,0.8775,0.3816,3.2119E-03,29.5527,0.0000,0.0000,0.0000,
B2,5.0486E-04,0.000,0.2000,2.7238E-04,0.8775,0.3816,3.2119E-03,29.5527,0.0000,0.0000,0.0000,
B2,5.1578E-04,0.000,0.2000,1.6819E-04,0.8774,0.3815,3.1922E-03,29.5578,0.0000,0.0000,0.0000,
B2,5.4731E-04,0.000,0.2000,2.7449E-04,0.8778,0.3814,3.1360E-03,29.5988,0.0000,0.0000,0.0000,
B2,5.6543E-04,0.000,0.2000,4.0124E-04,0.8778,0.3815,3.1295E-03,29.5956,0.0000,0.0000,0.0000,
B2,7.7387E-04,0.000,0.2000,3.9863E-04,0.8779,0.3815,3.1297E-03,29.5962,0.0000,0.0000,0.0000,
B2,1.0000E-03,0.000,0.2000,3.9579E-04,0.8779,0.3815,3.1299E-03,29.5968,0.0000,0.0000,0.0000,
B2,2.9491E-03,0.000,0.2000,3.7140E-04,0.8786,0.3815,3.1319E-03,29.6023,0.0000,0.0000,0.0000,
B2,3.1794E-03,0.000,0.2000,3.6861E-04,0.8787,0.3815,3.1322E-03,29.6030,0.0000,0.0000,0.0000,
B2,3.7934E-03,0.000,0.2000,3.6534E-04,0.8790,0.3815,3.1327E-03,29.6041,0.0000,0.0000,0.0000,
B2,9.5462E-03,0.000,0.2000,3.4360E-04,0.8825,0.3814,3.1371E-03,29.6139,0.0000,0.0000,0.0000,
B2,1.0000E-02,0.000,0.2000,3.4222E-04,0.8828,0.3814,3.1375E-03,29.6146,0.0000,0.0000,0.0000,
B2,1.1852E-02,0.000,0.2000,3.3683E-04,0.8840,0.3814,3.1389E-03,29.6176,0.0000,0.0000,0.0000,
B2,1.4943E-02,0.000,0.2000,3.0237E-04,0.8842,0.3814,3.1420E-03,29.6300,0.0000,0.0000,0.0000,
B2,4.7008E-02,0.000,0.2000,2.5078E-04,0.8851,0.3816,3.1668E-03,29.6750,0.0000,0.0000,0.0000,
B2,0.1000,0.000,0.2000,2.4232E-04,0.8858,0.3819,3.2058E-03,29.7115,0.0000,0.0000,0.0000,
B2,0.2000,0.000,0.2000,2.3942E-04,0.8868,0.3825,3.2791E-03,29.7710,0.0000,0.0000,0.0000,
B2,0.3000,0.000,0.2000,2.3897E-04,0.8878,0.3831,3.3522E-03,29.8286,0.0000,0.0000,0.0000,
B2,0.4000,0.000,0.2000,2.3910E-04,0.8888,0.3837,3.4253E-03,29.8858,0.0000,0.0000,0.0000,
B2,0.5000,0.000,0.2000,2.3947E-04,0.8898,0.3842,3.4983E-03,29.9428,0.0000,0.0000,0.0000,
B2,0.6000,0.000,0.2000,2.3995E-04,0.8908,0.3848,3.5712E-03,29.9997,0.0000,0.0000,0.0000,
B2,0.7000,0.000,0.2000,2.4049E-04,0.8918,0.3854,3.6440E-03,30.0565,0.0000,0.0000,0.0000,
B2,0.8000,0.000,0.2000,2.4107E-04,0.8928,0.3860,3.7168E-03,30.1133,0.0000,0.0000,0.0000,
B2,0.9000,0.000,0.2000,2.4168E-04,0.8937,0.3866,3.7896E-03,30.1701,0.0000,0.0000,0.0000,
B2,1.000,0.000,0.2000,2.4229E-04,0.8947,0.3872,3.8622E-03,30.2268,0.0000,0.0000,0.0000,
B2,1.000,0.000,0.2000,2.4229E-04,0.8947,0.3872,3.8622E-03,30.2268,0.0000,0.0000,0.0000,
C1,EndTable:,B2,
C1,
C1,
C1,Table C1,Dissolved elements(molality),
C1,Xi,t(days),Ca,Cl,Fe,C,P,K,Mg,Na,Si,
