Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41
Xi,0.0,2.32623e-14,1e-08,1e-07,1e-06,1e-05,0.0001,0.001,0.01,0.0649478,0.1,0.188761,0.2,0.236129,0.236926,0.288216,0.3,0.4,0.5,0.6,0.7,0.71992,0.738927,0.738931,0.743433,0.773925,0.774835,0.78217,0.783592,0.8,0.9,0.963196,0.963198,0.963267,0.970739,0.977177,0.977181,0.977182,0.977184,0.977186,0.978931,1.0
Aw,0.7038,0.7038,0.7038,0.7038,0.7038,0.70379,0.70378,0.7036,0.70196,0.696,0.69539,0.70175,0.70309,0.70886,0.70911,0.72091,0.72274,0.73422,0.74852,0.76943,0.79468,0.8,0.80515,0.80515,0.80833,0.83284,0.83309,0.83511,0.83545,0.83936,0.85931,0.86589,0.86589,0.86595,0.87198,0.87315,0.87316,0.87316,0.87316,0.87317,0.87252,0.87252
Temp,10.0,10.0,10.0,10.0,10.0,10.0,10.04,10.39,13.9,35.33,49.0,83.62,88.0,102.09,102.4,122.4,127.0,166.0,205.0,244.0,283.0,290.77,298.18,298.18,299.94,311.83,312.19,315.05,315.6,322.0,361.0,385.65,385.65,385.67,388.59,391.1,391.1,391.1,391.1,391.1,400.0,400.0
I,8.846,8.846,8.846,8.846,8.846,8.846,8.8462,8.8478,8.8619,8.8535,8.7751,8.3953,8.3342,8.0952,8.0861,7.6182,7.5362,7.0301,6.6308,6.24,5.9036,5.8467,5.7944,5.7943,5.7421,5.2686,5.2658,5.244,5.2408,5.2051,5.0907,5.249,5.249,5.248,5.1203,5.1288,5.1288,5.1288,5.1287,5.1283,5.33,5.33
pH,8.6679,8.6679,8.6679,8.6679,8.6679,8.6678,8.6665,8.6533,8.5243,7.8152,7.4271,6.6274,6.5417,6.2829,6.2773,5.9469,5.8796,5.416,5.1041,4.9082,4.819,4.815,4.8159,4.8159,4.8173,4.8307,4.8283,4.8104,4.8071,4.7711,4.6763,4.7305,4.7305,4.7308,4.761,4.7855,4.7855,4.7855,4.7855,4.7855,4.8783,4.8783
TDS%,40.864,40.864,40.864,40.864,40.864,40.864,40.864,40.863,40.855999999999995,40.82,40.806,40.797,40.798,40.801,40.801,40.81,40.811,40.814,40.804,40.778999999999996,40.772000000000006,40.783,40.794000000000004,40.794000000000004,40.57,38.289,38.286,38.265,38.265,38.269,38.397999999999996,38.445,38.445,38.434000000000005,37.21,36.992999999999995,36.992999999999995,36.992000000000004,36.992000000000004,36.989,36.978,36.978
Solv_Mass,846.0453,846.0453,846.0453,846.0453,846.04531,846.04543,846.04663,846.05852,846.17157,846.62586,846.72012,846.54674,846.50443,846.34036,846.33442,846.02764,845.97081,845.44439,844.47975,843.31098,842.85818,842.84293,843.01384,843.01905,850.78282,934.79511,934.95816,936.14459,936.21006,936.90586,939.51418,940.42481,940.43023,940.82871,987.74281,996.49522,996.51679,996.52448,996.547,996.66162,996.61348,996.61348
Cl-,7.0427E+00,7.0427E+00,7.0427E+00,7.0427E+00,7.0427E+00,7.0427E+00,7.0429E+00,7.0446E+00,7.0598E+00,7.0988E+00,7.0824E+00,6.9347E+00,6.9080E+00,6.7969E+00,6.7924E+00,6.5563E+00,6.5147E+00,6.2564E+00,6.0555E+00,5.8639E+00,5.6880E+00,5.6539E+00,5.6204E+00,5.6203E+00,5.5739E+00,5.1308E+00,5.1286E+00,5.1109E+00,5.1084E+00,5.0799E+00,4.9654E+00,5.0535E+00,5.0535E+00,5.0524E+00,4.9126E+00,4.9059E+00,4.9058E+00,4.9058E+00,4.9057E+00,4.9053E+00,5.0275E+00,5.0275E+00
MgCl+,2.4530E+00,2.4530E+00,2.4530E+00,2.4530E+00,2.4530E+00,2.4530E+00,2.4530E+00,2.4532E+00,2.4555E+00,2.4953E+00,2.5405E+00,2.7042E+00,2.7283E+00,2.8161E+00,2.8190E+00,2.9728E+00,3.0009E+00,3.1884E+00,3.3539E+00,3.5092E+00,3.5837E+00,3.5805E+00,3.5701E+00,3.5701E+00,3.5401E+00,3.2483E+00,3.2470E+00,3.2368E+00,3.2354E+00,3.2167E+00,3.0423E+00,2.9447E+00,2.9447E+00,2.9441E+00,2.8566E+00,2.8321E+00,2.8321E+00,2.8320E+00,2.8320E+00,2.8318E+00,2.8038E+00,2.8038E+00
"CaCl2,aq",1.4699E+00,1.4699E+00,1.4699E+00,1.4699E+00,1.4699E+00,1.4699E+00,1.4697E+00,1.4678E+00,1.4490E+00,1.3483E+00,1.2947E+00,1.1890E+00,1.1783E+00,1.1513E+00,1.1512E+00,1.1407E+00,1.1375E+00,1.1022E+00,1.0599E+00,1.0187E+00,9.7995E-01,9.7097E-01,9.6118E-01,9.6117E-01,9.4611E-01,8.1511E-01,8.1458E-01,8.1035E-01,8.0972E-01,8.0178E-01,7.2178E-01,6.3671E-01,6.3670E-01,6.3629E-01,5.9107E-01,5.7509E-01,5.7507E-01,5.7506E-01,5.7505E-01,5.7497E-01,5.3716E-01,5.3716E-01
