Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39
Xi,0.0,1e-08,1e-07,1e-06,1e-05,0.0001,0.001,0.01,0.0654278,0.1,0.187905,0.2,0.238455,0.239229,0.2954,0.3,0.4,0.5,0.6,0.630222,0.7,0.743852,0.743855,0.748986,0.777439,0.77824,0.787378,0.78874,0.8,0.9,0.964324,0.964326,0.964357,0.971689,0.979225,0.979226,0.979229,0.97923,0.981061,1.0
Aw,0.73037,0.73037,0.73037,0.73037,0.73037,0.73036,0.7302,0.72875,0.72356,0.72323,0.72956,0.73097,0.73721,0.73743,0.74903,0.7497,0.76096,0.77458,0.79357,0.8,0.81546,0.82542,0.82542,0.82879,0.84981,0.85001,0.85219,0.85246,0.85474,0.87204,0.87849,0.87849,0.87851,0.88376,0.88557,0.88557,0.88558,0.88559,0.88557,0.88557
Temp,10.0,10.0,10.0,10.0,10.0,10.04,10.39,13.9,35.52,49.0,83.28,88.0,103.0,103.3,125.21,127.0,166.0,205.0,244.0,255.79,283.0,300.1,300.1,302.1,313.2,313.51,317.08,317.61,322.0,361.0,386.09,386.09,386.1,388.96,391.9,391.9,391.9,391.9,400.0,400.0
I,8.1972,8.1972,8.1972,8.1972,8.1972,8.1974,8.199,8.2125,8.2028,8.1274,7.7633,7.6995,7.4421,7.4338,6.9561,6.9258,6.428,6.0211,5.6108,5.4942,5.2562,5.1299,5.1299,5.0736,4.6632,4.6608,4.6342,4.6311,4.6065,4.4813,4.6225,4.6225,4.6222,4.5246,4.5236,4.5236,4.5235,4.523,4.6941,4.6941
pH,8.7076,8.7076,8.7076,8.7076,8.7074,8.7061,8.693,8.5642,7.8504,7.4681,6.6744,6.5818,6.3058,6.3003,5.9433,5.9173,5.4532,5.1395,4.9381,4.8971,4.8391,4.8319,4.8319,4.8332,4.8447,4.8426,4.8195,4.8162,4.7904,4.6854,4.7434,4.7434,4.7435,4.7748,4.805,4.805,4.805,4.8051,4.8934,4.8934
TDS%,37.961,37.961,37.961,37.961,37.961,37.961,37.96,37.952999999999996,37.916,37.901,37.889,37.889,37.891000000000005,37.891000000000005,37.897999999999996,37.897999999999996,37.899,37.885999999999996,37.852000000000004,37.84,37.829,37.845,37.845,37.586000000000006,35.465999999999994,35.463,35.436,35.436,35.439,35.56,35.606,35.606,35.602000000000004,34.507,34.169,34.169,34.168,34.165,34.153,34.153
Solv_Mass,844.19855,844.19855,844.19856,844.19857,844.1987,844.19997,844.21266,844.33457,844.88281,845.05654,845.1033,845.08473,844.9879,844.98417,844.78204,844.76957,844.47577,843.85899,843.15401,843.07069,843.19154,843.52872,843.5333,852.75568,933.24813,933.39924,934.92877,934.98881,935.45841,938.13839,939.10283,939.11208,939.27521,982.36156,996.39553,996.40395,996.42589,996.56649,996.52614,996.52614
Cl-,6.5149E+00,6.5149E+00,6.5149E+00,6.5149E+00,6.5150E+00,6.5151E+00,6.5165E+00,6.5291E+00,6.5542E+00,6.5305E+00,6.3714E+00,6.3413E+00,6.2141E+00,6.2097E+00,5.9603E+00,5.9443E+00,5.6796E+00,5.4658E+00,5.2535E+00,5.1917E+00,5.0564E+00,4.9745E+00,4.9745E+00,4.9240E+00,4.5392E+00,4.5372E+00,4.5153E+00,4.5128E+00,4.4929E+00,4.3705E+00,4.4485E+00,4.4485E+00,4.4481E+00,4.3394E+00,4.3224E+00,4.3223E+00,4.3223E+00,4.3218E+00,4.4268E+00,4.4268E+00
MgCl+,1.9028E+00,1.9028E+00,1.9028E+00,1.9028E+00,1.9028E+00,1.9028E+00,1.9029E+00,1.9041E+00,1.9350E+00,1.9721E+00,2.1108E+00,2.1332E+00,2.2169E+00,2.2193E+00,2.3622E+00,2.3716E+00,2.5363E+00,2.6823E+00,2.8212E+00,2.8539E+00,2.8942E+00,2.8853E+00,2.8853E+00,2.8565E+00,2.6301E+00,2.6292E+00,2.6185E+00,2.6173E+00,2.6068E+00,2.4569E+00,2.3697E+00,2.3697E+00,2.3695E+00,2.3095E+00,2.2814E+00,2.2814E+00,2.2813E+00,2.2811E+00,2.2599E+00,2.2599E+00
"CaCl2,aq",1.1570E+00,1.1570E+00,1.1570E+00,1.1570E+00,1.1570E+00,1.1568E+00,1.1550E+00,1.1372E+00,1.0432E+00,9.9607E-01,9.0678E-01,8.9739E-01,8.7657E-01,8.7659E-01,8.7081E-01,8.6987E-01,8.4157E-01,8.1096E-01,7.9038E-01,7.8699E-01,7.8152E-01,7.7595E-01,7.7594E-01,7.6301E-01,6.6839E-01,6.6817E-01,6.6570E-01,6.6547E-01,6.6333E-01,6.1285E-01,5.4069E-01,5.4068E-01,5.4053E-01,5.0392E-01,4.8509E-01,4.8509E-01,4.8507E-01,4.8499E-01,4.5267E-01,4.5267E-01
