Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43
Xi,0.0,1e-08,1e-07,1e-06,1e-05,0.0001,0.001,0.01,0.0627215,0.1,0.1777,0.2,0.236498,0.237301,0.276831,0.3,0.4,0.473255,0.473283,0.5,0.6,0.7,0.750816,0.750924,0.779244,0.780132,0.79839,0.79942,0.8,0.885961,0.9,0.956662,0.956663,0.956667,0.959046,0.976961,0.976969,0.97697,0.976972,0.976974,0.976988,0.977015,0.979,1.0
Aw,0.78219,0.78219,0.78219,0.78219,0.78219,0.78219,0.78216,0.78192,0.78208,0.78351,0.78886,0.79077,0.79452,0.79465,0.80001,0.80245,0.81086,0.81739,0.8174,0.82005,0.83125,0.84334,0.84941,0.84947,0.86736,0.86751,0.87037,0.87048,0.87055,0.87937,0.88062,0.88505,0.88505,0.88505,0.88615,0.89331,0.89331,0.89331,0.89331,0.89331,0.89333,0.89335,0.89453,0.89453
Temp,10.0,10.0,10.0,10.0,10.0,10.04,10.39,13.9,34.46,49.0,79.3,88.0,102.23,102.55,117.96,127.0,166.0,194.57,194.58,205.0,244.0,283.0,302.82,302.86,313.91,314.25,321.37,321.77,322.0,355.52,361.0,383.1,383.1,383.1,384.03,391.01,391.02,391.02,391.02,391.02,391.03,391.04,400.0,400.0
I,5.7356,5.7356,5.7356,5.7356,5.7356,5.7355,5.7346,5.7249,5.6297,5.5302,5.2627,5.1752,5.0079,5.0023,4.7595,4.6441,4.2693,4.0388,4.0387,3.9529,3.6242,3.305,3.1595,3.1587,2.8836,2.8809,2.8303,2.828,2.8267,2.689,2.6811,2.7149,2.7149,2.7149,2.7004,2.6154,2.6154,2.6154,2.6153,2.6153,2.6151,2.6147,2.6963,2.6963
pH,9.2098,9.2098,9.2098,9.2098,9.2096,9.2083,9.1954,9.0675,8.3894,7.9763,7.2622,7.0877,6.8223,6.8164,6.5484,6.4106,5.9418,5.6934,5.6933,5.6185,5.3978,5.2672,5.2415,5.2415,5.2456,5.2428,5.1889,5.1861,5.1846,5.0455,5.0422,5.0903,5.0903,5.0903,5.1004,5.1782,5.1782,5.1782,5.1783,5.1783,5.1783,5.1785,5.2868,5.2868
TDS%,30.956,30.956,30.956,30.956,30.956,30.956,30.956,30.956,30.955,30.953999999999997,30.953000000000003,30.953000000000003,30.952,30.952,30.952,30.952,30.952,30.953000000000003,30.953000000000003,30.938,30.884,30.834,30.808999999999997,30.804,28.888,28.883,28.803,28.803,28.802,28.769,28.768,28.761,28.761,28.761,28.585,27.441,27.439999999999998,27.439999999999998,27.439999999999998,27.439999999999998,27.438000000000002,27.433999999999997,27.431,27.431
Solv_Mass,837.99484,837.99484,837.99484,837.99484,837.99485,837.99494,837.99588,838.0055,838.06916,838.1206,838.23882,838.2741,838.33154,838.33278,838.39287,838.42698,838.54933,838.57954,838.58016,839.16208,841.08921,842.72394,843.75483,843.96525,923.78176,923.99425,927.56923,927.60956,927.63212,930.10478,930.3864,931.3656,931.3675,931.38036,939.29936,993.37448,993.3949,993.39491,993.4123,993.43102,993.53195,993.72926,993.71543,993.71543
Cl-,5.1826E+00,5.1826E+00,5.1826E+00,5.1826E+00,5.1826E+00,5.1824E+00,5.1810E+00,5.1657E+00,5.0572E+00,4.9655E+00,4.7471E+00,4.6795E+00,4.5537E+00,4.5497E+00,4.3715E+00,4.2843E+00,3.9945E+00,3.8192E+00,3.8191E+00,3.7544E+00,3.5045E+00,3.2444E+00,3.1165E+00,3.1156E+00,2.8497E+00,2.8472E+00,2.7995E+00,2.7973E+00,2.7960E+00,2.6612E+00,2.6520E+00,2.6708E+00,2.6708E+00,2.6708E+00,2.6553E+00,2.5608E+00,2.5608E+00,2.5608E+00,2.5607E+00,2.5607E+00,2.5605E+00,2.5601E+00,2.6185E+00,2.6185E+00
Na+,3.4046E+00,3.4046E+00,3.4046E+00,3.4046E+00,3.4045E+00,3.4042E+00,3.4011E+00,3.3701E+00,3.2032E+00,3.0990E+00,2.9090E+00,2.8589E+00,2.7758E+00,2.7736E+00,2.6710E+00,2.6158E+00,2.4203E+00,2.3096E+00,2.3096E+00,2.2718E+00,2.1293E+00,1.9671E+00,1.8806E+00,1.8801E+00,1.7242E+00,1.7225E+00,1.6897E+00,1.6881E+00,1.6872E+00,1.5889E+00,1.5811E+00,1.5787E+00,1.5787E+00,1.5787E+00,1.5679E+00,1.5014E+00,1.5014E+00,1.5014E+00,1.5014E+00,1.5014E+00,1.5012E+00,1.5010E+00,1.5191E+00,1.5191E+00
"NaCl,aq",1.5448E+00,1.5448E+00,1.5448E+00,1.5448E+00,1.5448E+00,1.5451E+00,1.5482E+00,1.5785E+00,1.7421E+00,1.8446E+00,2.0322E+00,2.0818E+00,2.1644E+00,2.1665E+00,2.2688E+00,2.3237E+00,2.5198E+00,2.6339E+00,2.6339E+00,2.6702E+00,2.8128E+00,2.9782E+00,3.0624E+00,3.0617E+00,2.7933E+00,2.7940E+00,2.8098E+00,2.8112E+00,2.8120E+00,2.8986E+00,2.9051E+00,2.9028E+00,2.9028E+00,2.9027E+00,2.8757E+00,2.7003E+00,2.7002E+00,2.7002E+00,2.7002E+00,2.7001E+00,2.6998E+00,2.6993E+00,2.6812E+00,2.6812E+00
Ca+2,3.9629E-01,3.9629E-01,3.9629E-01,3.9629E-01,3.9630E-01,3.9635E-01,3.9683E-01,4.0125E-01,4.1160E-01,4.0530E-01,3.6630E-01,3.5067E-01,3.1796E-01,3.1671E-01,2.6596E-01,2.4398E-01,1.7902E-01,1.3864E-01,1.3862E-01,1.2363E-01,7.0899E-02,3.5534E-02,2.5697E-02,2.5679E-02,2.1358E-02,2.1269E-02,1.9686E-02,1.9612E-02,1.9571E-02,1.9020E-02,2.0231E-02,3.3214E-02,3.3214E-02,3.3215E-02,3.4011E-02,4.1879E-02,4.1884E-02,4.1884E-02,4.1885E-02,4.1886E-02,4.1891E-02,4.1902E-02,6.1798E-02,6.1798E-02
K+,3.4332E-01,3.4332E-01,3.4332E-01,3.4332E-01,3.4332E-01,3.4332E-01,3.4330E-01,3.4312E-01,3.4175E-01,3.4046E-01,3.3681E-01,3.3552E-01,3.3309E-01,3.3303E-01,3.2982E-01,3.2775E-01,3.1762E-01,3.0930E-01,3.0929E-01,3.0592E-01,2.9257E-01,2.7786E-01,2.7011E-01,2.7003E-01,2.4511E-01,2.4494E-01,2.4171E-01,2.4157E-01,2.4150E-01,2.3211E-01,2.3115E-01,2.2949E-01,2.2948E-01,2.2948E-01,2.2760E-01,2.1568E-01,2.1567E-01,2.1567E-01,2.1567E-01,2.1567E-01,2.1565E-01,2.1560E-01,2.1647E-01,2.1647E-01
"CaCl2,aq",3.1772E-01,3.1772E-01,3.1772E-01,3.1772E-01,3.1771E-01,3.1760E-01,3.1647E-01,3.0563E-01,2.5630E-01,2.3323E-01,2.0599E-01,2.0171E-01,1.9926E-01,1.9949E-01,2.0646E-01,2.0764E-01,2.0423E-01,2.0384E-01,2.0384E-01,2.0500E-01,2.1759E-01,2.4070E-01,2.5354E-01,2.5348E-01,2.3002E-01,2.3015E-01,2.3279E-01,2.3298E-01,2.3309E-01,2.3854E-01,2.3679E-01,2.1868E-01,2.1867E-01,2.1867E-01,2.1539E-01,1.9249E-01,1.9249E-01,1.9249E-01,1.9248E-01,1.9247E-01,1.9244E-01,1.9238E-01,1.7645E-01,1.7645E-01
CaCl+,1.8008E-01,1.8008E-01,1.8008E-01,1.8008E-01,1.8009E-01,1.8016E-01,1.8080E-01,1.8724E-01,2.2628E-01,2.5564E-01,3.2176E-01,3.4159E-01,3.7661E-01,3.7763E-01,4.2119E-01,4.4183E-01,5.0933E-01,5.4933E-01,5.4934E-01,5.6245E-01,6.0056E-01,6.1201E-01,6.0839E-01,6.0825E-01,5.5947E-01,5.5925E-01,5.5527E-01,5.5513E-01,5.5506E-01,5.4843E-01,5.4876E-01,5.5311E-01,5.5311E-01,5.5310E-01,5.4880E-01,5.2037E-01,5.2036E-01,5.2036E-01,5.2035E-01,5.2034E-01,5.2029E-01,5.2019E-01,5.1624E-01,5.1624E-01
MgCl+,1.6415E-01,1.6415E-01,1.6415E-01,1.6415E-01,1.6415E-01,1.6415E-01,1.6414E-01,1.6410E-01,1.6658E-01,1.7091E-01,1.8533E-01,1.9046E-01,2.0054E-01,2.0089E-01,2.1558E-01,2.2236E-01,2.4408E-01,2.5739E-01,2.5739E-01,2.6189E-01,2.7479E-01,2.7859E-01,2.7700E-01,2.7692E-01,2.5265E-01,2.5253E-01,2.5011E-01,2.5002E-01,2.4996E-01,2.3521E-01,2.3200E-01,2.2062E-01,2.2062E-01,2.2062E-01,2.2016E-01,2.1355E-01,2.1355E-01,2.1355E-01,2.1355E-01,2.1355E-01,2.1353E-01,2.1351E-01,2.1061E-01,2.1061E-01
Mg+2,1.4450E-01,1.4450E-01,1.4450E-01,1.4450E-01,1.4450E-01,1.4451E-01,1.4460E-01,1.4541E-01,1.4663E-01,1.4423E-01,1.3254E-01,1.2796E-01,1.1859E-01,1.1824E-01,1.0399E-01,9.7509E-02,7.6499E-02,6.1951E-02,6.1945E-02,5.6309E-02,3.5160E-02,1.9218E-02,1.4220E-02,1.4210E-02,1.1825E-02,1.1773E-02,1.0802E-02,1.0754E-02,1.0727E-02,8.7325E-03,8.7989E-03,1.0809E-02,1.0809E-02,1.0809E-02,1.1010E-02,1.2660E-02,1.2661E-02,1.2661E-02,1.2661E-02,1.2661E-02,1.2663E-02,1.2665E-02,1.5920E-02,1.5920E-02
"Na(For),aq",3.1364E-02,3.1364E-02,3.1364E-02,3.1364E-02,3.1365E-02,3.1371E-02,3.1436E-02,3.2055E-02,3.4919E-02,3.6307E-02,3.7992E-02,3.8228E-02,3.8368E-02,3.8366E-02,3.8295E-02,3.8225E-02,3.6725E-02,3.3022E-02,3.3020E-02,3.1169E-02,1.9729E-02,7.2304E-03,3.6213E-03,3.6022E-03,5.5811E-04,5.3467E-04,2.1820E-04,2.1155E-04,2.0790E-04,1.7848E-05,1.2311E-05,3.0524E-06,3.0522E-06,3.0512E-06,2.4781E-06,3.3797E-08,3.3740E-08,3.3740E-08,3.3731E-08,3.3721E-08,3.3668E-08,3.3563E-08,2.8118E-08,2.8118E-08
Mg(For)+,2.0769E-02,2.0769E-02,2.0769E-02,2.0769E-02,2.0768E-02,2.0762E-02,2.0696E-02,2.0053E-02,1.6802E-02,1.5009E-02,1.2284E-02,1.1679E-02,1.0852E-02,1.0840E-02,1.0164E-02,9.6987E-03,7.5777E-03,5.9622E-03,5.9616E-03,5.3910E-03,2.9282E-03,9.0961E-04,4.1403E-04,4.1177E-04,6.1431E-05,5.8736E-05,2.2989E-05,2.2235E-05,2.1821E-05,1.4543E-06,9.5397E-07,1.8987E-07,1.8986E-07,1.8980E-07,1.5397E-07,2.0281E-09,2.0247E-09,2.0247E-09,2.0242E-09,2.0236E-09,2.0203E-09,2.0140E-09,1.5210E-09,1.5210E-09
