Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43,Step44,Step45
Xi,0.0,4.90775e-14,1e-08,1e-07,1e-06,1e-05,0.0001,0.001,0.01,0.0633593,0.1,0.173797,0.2,0.239231,0.240041,0.284149,0.3,0.4,0.489767,0.48982,0.5,0.6,0.7,0.758194,0.758196,0.760041,0.786479,0.78648,0.787104,0.8,0.814234,0.815211,0.894143,0.9,0.917286,0.917305,0.922123,0.923525,0.968177,0.968179,0.969611,0.979345,0.979356,0.979408,0.981371,1.0
Aw,0.81342,0.81342,0.81342,0.81342,0.81342,0.81342,0.81342,0.81342,0.81348,0.81469,0.81624,0.82053,0.82229,0.82541,0.8255,0.82965,0.83089,0.83762,0.84426,0.84427,0.84508,0.85409,0.86405,0.86968,0.86969,0.87072,0.88687,0.88687,0.88695,0.88868,0.89037,0.89046,0.89691,0.89734,0.89858,0.89859,0.90092,0.90101,0.90398,0.90398,0.90467,0.90722,0.90723,0.90727,0.90837,0.90837
Temp,10.0,10.0,10.0,10.0,10.0,10.0,10.04,10.39,13.9,34.71,49.0,77.78,88.0,103.3,103.62,120.82,127.0,166.0,201.01,201.03,205.0,244.0,283.0,305.7,305.7,306.42,316.73,316.73,316.97,322.0,327.55,327.93,358.72,361.0,367.74,367.75,369.63,370.17,387.59,387.59,388.15,391.94,391.95,391.97,400.0,400.0
I,4.7363,4.7363,4.7363,4.7363,4.7363,4.7362,4.7361,4.7344,4.7174,4.6004,4.5076,4.2986,4.2189,4.0795,4.0755,3.8839,3.8258,3.5339,3.3077,3.3075,3.2808,3.0057,2.7141,2.5486,2.5486,2.5349,2.2922,2.2922,2.2904,2.2529,2.2149,2.2126,2.0726,2.0667,2.0535,2.0534,2.0155,2.0149,2.0219,2.0219,2.0118,1.9845,1.9843,1.9837,2.0181,2.0181
pH,12.3046,12.3046,12.3046,12.3046,12.3046,12.3044,12.3028,12.2872,12.1333,11.3015,10.8028,9.9482,9.6856,9.3219,9.3146,8.9438,8.8232,8.1834,7.7489,7.7486,7.7062,7.3545,7.112,7.0194,7.0194,7.0177,6.9969,6.9969,6.9922,6.8962,6.7954,6.7885,6.2895,6.2578,6.1684,6.1684,6.1755,6.162,5.7672,5.7672,5.7709,5.794,5.794,5.7942,5.846,5.846
TDS%,26.552,26.552,26.552,26.552,26.552,26.552,26.552,26.552,26.548,26.528000000000002,26.516000000000002,26.497999999999998,26.493,26.487,26.487,26.480999999999998,26.479000000000003,26.47,26.464,26.464,26.458,26.401999999999997,26.354,26.323999999999998,26.323999999999998,26.229999999999997,24.376,24.376,24.372,24.311,24.26,24.259,24.203,24.201,24.194,24.192,23.823,23.823,23.781,23.781,23.666999999999998,23.289,23.287,23.281,23.279,23.279
Solv_Mass,840.62487,840.62487,840.62487,840.62487,840.62488,840.6249,840.62518,840.62788,840.65475,840.80882,840.91073,841.10652,841.17237,841.26698,841.26889,841.37027,841.40549,841.61533,841.7897,841.79116,842.07405,844.68827,846.87418,848.12804,848.13262,852.15395,938.71883,938.71946,938.87059,941.62944,943.9029,943.94224,946.11799,946.22882,946.57972,946.6493,965.93924,965.96823,967.92177,967.93107,974.00735,994.63898,994.71083,995.07806,995.09413,995.09413
Cl-,4.5065E+00,4.5065E+00,4.5065E+00,4.5065E+00,4.5065E+00,4.5065E+00,4.5063E+00,4.5046E+00,4.4870E+00,4.3723E+00,4.2857E+00,4.0983E+00,4.0283E+00,3.9080E+00,3.9046E+00,3.7406E+00,3.6900E+00,3.4316E+00,3.2315E+00,3.2314E+00,3.2077E+00,2.9606E+00,2.6882E+00,2.5292E+00,2.5292E+00,2.5157E+00,2.2783E+00,2.2783E+00,2.2765E+00,2.2407E+00,2.2041E+00,2.2019E+00,2.0632E+00,2.0571E+00,2.0430E+00,2.0429E+00,2.0049E+00,2.0041E+00,2.0049E+00,2.0049E+00,1.9946E+00,1.9651E+00,1.9649E+00,1.9643E+00,1.9909E+00,1.9909E+00
Na+,3.9039E+00,3.9039E+00,3.9039E+00,3.9039E+00,3.9039E+00,3.9039E+00,3.9036E+00,3.9012E+00,3.8772E+00,3.7395E+00,3.6490E+00,3.4725E+00,3.4106E+00,3.3097E+00,3.3071E+00,3.1749E+00,3.1327E+00,2.9116E+00,2.7434E+00,2.7433E+00,2.7238E+00,2.5189E+00,2.2844E+00,2.1433E+00,2.1432E+00,2.1318E+00,1.9307E+00,1.9307E+00,1.9291E+00,1.8973E+00,1.8646E+00,1.8626E+00,1.7330E+00,1.7267E+00,1.7115E+00,1.7113E+00,1.6789E+00,1.6780E+00,1.6664E+00,1.6663E+00,1.6574E+00,1.6298E+00,1.6296E+00,1.6291E+00,1.6422E+00,1.6422E+00
"NaCl,aq",1.3398E+00,1.3398E+00,1.3398E+00,1.3398E+00,1.3398E+00,1.3398E+00,1.3401E+00,1.3426E+00,1.3670E+00,1.5060E+00,1.5966E+00,1.7722E+00,1.8336E+00,1.9339E+00,1.9365E+00,2.0679E+00,2.1099E+00,2.3297E+00,2.4973E+00,2.4973E+00,2.5152E+00,2.7047E+00,2.9269E+00,3.0618E+00,3.0618E+00,3.0489E+00,2.7764E+00,2.7764E+00,2.7773E+00,2.7967E+00,2.8193E+00,2.8212E+00,2.9416E+00,2.9474E+00,2.9609E+00,2.9607E+00,2.8998E+00,2.9006E+00,2.9031E+00,2.9030E+00,2.8835E+00,2.8169E+00,2.8167E+00,2.8156E+00,2.8025E+00,2.8025E+00
