Variables,Step0,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43,Step44,Step45,Step46
Xi,0.0,1e-14,1e-08,1e-07,1e-06,1e-05,0.0001,0.001,0.01,0.0639394,0.1,0.186807,0.2,0.236729,0.237373,0.285784,0.3,0.4,0.498506,0.498525,0.5,0.596075,0.6,0.7,0.774105,0.774157,0.798873,0.799809,0.8,0.834699,0.8347,0.83578,0.9,0.92894,0.928954,0.932996,0.93538,0.936293,0.981102,0.981118,0.985493,0.988414,0.988415,0.988418,0.9885,0.990466,1.0
Aw,0.89038,0.89038,0.89038,0.89038,0.89038,0.89038,0.89038,0.89038,0.89038,0.89084,0.8915,0.89389,0.89432,0.89568,0.89572,0.8979,0.89847,0.90222,0.90661,0.90661,0.90668,0.91152,0.91174,0.91746,0.92169,0.92171,0.93397,0.93406,0.93408,0.93706,0.93706,0.93713,0.94062,0.9421,0.94211,0.94343,0.94419,0.94423,0.94642,0.94642,0.94726,0.94748,0.94748,0.94749,0.94752,0.94807,0.94807
Temp,10.0,10.0,10.0,10.0,10.0,10.0,10.04,10.39,13.9,34.94,49.0,82.85,88.0,102.32,102.58,121.46,127.0,166.0,204.42,204.42,205.0,242.47,244.0,283.0,311.9,311.92,321.56,321.93,322.0,335.53,335.53,335.95,361.0,372.29,372.29,373.87,374.8,375.15,392.63,392.64,394.34,395.48,395.48,395.48,395.51,400.0,400.0
I,3.0794,3.0794,3.0794,3.0794,3.0794,3.0793,3.0793,3.0785,3.0702,3.011,2.9639,2.8312,2.8089,2.7378,2.7359,2.6142,2.5838,2.4049,2.2339,2.2339,2.2311,2.0303,2.0215,1.7866,1.6118,1.6115,1.4314,1.4292,1.4288,1.354,1.354,1.352,1.2522,1.2229,1.2229,1.2001,1.1873,1.1866,1.1736,1.1735,1.1628,1.1622,1.1622,1.1622,1.1616,1.1678,1.1678
pH,12.4145,12.4145,12.4145,12.4145,12.4145,12.4144,12.4128,12.3975,12.246,11.4148,10.9261,9.9336,9.8022,9.4554,9.4493,9.03,8.9198,8.2688,7.7837,7.7836,7.7773,7.4165,7.4039,7.1364,7.0078,7.0078,6.9874,6.9802,6.9788,6.7291,6.7291,6.7216,6.3213,6.1729,6.1729,6.1798,6.1837,6.1752,5.7944,5.7944,5.8066,5.8145,5.8145,5.8145,5.8148,5.8476,5.8476
TDS%,16.849,16.849,16.849,16.849,16.849,16.849,16.849,16.849,16.845,16.825000000000003,16.814,16.794999999999998,16.793,16.787,16.787,16.781,16.78,16.773,16.768,16.768,16.767000000000003,16.729,16.727,16.692,16.664,16.661,15.204999999999998,15.201999999999998,15.201,15.107000000000001,15.107000000000001,15.107000000000001,15.081,15.073,15.072,14.838000000000001,14.704999999999998,14.704999999999998,14.686,14.685,14.549999999999999,14.532,14.532,14.530999999999999,14.524000000000001,14.523,14.523
Solv_Mass,842.40344,842.40344,842.40344,842.40344,842.40344,842.40347,842.4037,842.40607,842.42965,842.56815,842.6585,842.86781,842.89836,842.98151,842.98296,843.08877,843.11905,843.32498,843.51857,843.51911,843.56156,846.19256,846.29216,848.58677,850.29994,850.43605,945.61533,945.83563,945.88024,951.65629,951.65632,951.6887,953.14554,953.66979,953.72441,971.34374,981.61009,981.62209,982.91371,982.97577,993.60485,995.04073,995.05149,995.0721,995.68098,995.6848,995.6848
Cl-,2.8949E+00,2.8949E+00,2.8949E+00,2.8949E+00,2.8949E+00,2.8949E+00,2.8948E+00,2.8941E+00,2.8871E+00,2.8370E+00,2.7972E+00,2.6851E+00,2.6663E+00,2.6067E+00,2.6052E+00,2.5038E+00,2.4780E+00,2.3241E+00,2.1757E+00,2.1756E+00,2.1731E+00,1.9943E+00,1.9863E+00,1.7676E+00,1.5995E+00,1.5992E+00,1.4227E+00,1.4206E+00,1.4201E+00,1.3473E+00,1.3473E+00,1.3454E+00,1.2459E+00,1.2157E+00,1.2156E+00,1.1928E+00,1.1798E+00,1.1791E+00,1.1616E+00,1.1615E+00,1.1502E+00,1.1491E+00,1.1491E+00,1.1490E+00,1.1484E+00,1.1521E+00,1.1521E+00
Na+,2.4833E+00,2.4833E+00,2.4833E+00,2.4833E+00,2.4833E+00,2.4833E+00,2.4832E+00,2.4823E+00,2.4738E+00,2.4205E+00,2.3829E+00,2.2853E+00,2.2696E+00,2.2211E+00,2.2199E+00,2.1403E+00,2.1196E+00,1.9929E+00,1.8712E+00,1.8712E+00,1.8691E+00,1.7204E+00,1.7136E+00,1.5225E+00,1.3706E+00,1.3703E+00,1.2181E+00,1.2162E+00,1.2158E+00,1.1497E+00,1.1497E+00,1.1478E+00,1.0543E+00,1.0240E+00,1.0240E+00,1.0043E+00,9.9307E-01,9.9233E-01,9.6789E-01,9.6783E-01,9.5734E-01,9.5564E-01,9.5563E-01,9.5561E-01,9.5505E-01,9.5477E-01,9.5477E-01
"NaCl,aq",4.4712E-01,4.4712E-01,4.4712E-01,4.4712E-01,4.4712E-01,4.4713E-01,4.4722E-01,4.4811E-01,4.5702E-01,5.1186E-01,5.5005E-01,6.4791E-01,6.6359E-01,7.1196E-01,7.1312E-01,7.9248E-01,8.1314E-01,9.3926E-01,1.0606E+00,1.0606E+00,1.0625E+00,1.2024E+00,1.2089E+00,1.3927E+00,1.5398E+00,1.5396E+00,1.4009E+00,1.4023E+00,1.4025E+00,1.4538E+00,1.4538E+00,1.4555E+00,1.5454E+00,1.5743E+00,1.5742E+00,1.5468E+00,1.5313E+00,1.5320E+00,1.5531E+00,1.5530E+00,1.5366E+00,1.5347E+00,1.5346E+00,1.5346E+00,1.5336E+00,1.5339E+00,1.5339E+00
Ca+2,1.6402E-01,1.6402E-01,1.6402E-01,1.6402E-01,1.6402E-01,1.6402E-01,1.6402E-01,1.6401E-01,1.6382E-01,1.5971E-01,1.5477E-01,1.3752E-01,1.3436E-01,1.2363E-01,1.2332E-01,1.0390E-01,9.9384E-02,7.4912E-02,5.2638E-02,5.2634E-02,5.2286E-02,3.0572E-02,2.9782E-02,1.4327E-02,8.6141E-03,8.6106E-03,7.0604E-03,7.0278E-03,7.0212E-03,6.1543E-03,6.1543E-03,6.1377E-03,6.2277E-03,7.1825E-03,7.1828E-03,7.2792E-03,7.3440E-03,7.3933E-03,1.1501E-02,1.1502E-02,1.2085E-02,1.2577E-02,1.2577E-02,1.2577E-02,1.2584E-02,1.4974E-02,1.4974E-02
K+,6.1898E-02,6.1898E-02,6.1898E-02,6.1898E-02,6.1898E-02,6.1898E-02,6.1898E-02,6.1896E-02,6.1883E-02,6.1787E-02,6.1700E-02,6.1388E-02,6.1325E-02,6.1120E-02,6.1116E-02,6.0753E-02,6.0635E-02,5.9654E-02,5.8366E-02,5.8366E-02,5.8341E-02,5.6450E-02,5.6361E-02,5.3704E-02,5.1275E-02,5.1265E-02,4.5648E-02,4.5609E-02,4.5601E-02,4.4255E-02,4.4255E-02,4.4220E-02,4.2253E-02,4.1502E-02,4.1499E-02,4.0672E-02,4.0203E-02,4.0183E-02,3.9360E-02,3.9357E-02,3.8882E-02,3.8795E-02,3.8794E-02,3.8793E-02,3.8769E-02,3.8673E-02,3.8673E-02
"H2,aq",5.4665E-02,5.4665E-02,5.4665E-02,5.4665E-02,5.4665E-02,5.4666E-02,5.4682E-02,5.4834E-02,5.6373E-02,6.6055E-02,7.2950E-02,9.0864E-02,9.3732E-02,1.0184E-01,1.0198E-01,1.1288E-01,1.1617E-01,1.3992E-01,1.6333E-01,1.6334E-01,1.6445E-01,2.3282E-01,2.3539E-01,2.9432E-01,3.2975E-01,3.2904E-01,8.1899E-02,8.0171E-02,7.9821E-02,3.4516E-02,3.4516E-02,3.4295E-02,2.3806E-02,2.0424E-02,2.0397E-02,1.2272E-02,7.7774E-03,7.7383E-03,5.8597E-03,5.8371E-03,1.5085E-03,6.6458E-04,6.6449E-04,6.6432E-04,6.5944E-04,6.9969E-04,6.9969E-04
CaCl+,3.7806E-02,3.7806E-02,3.7806E-02,3.7806E-02,3.7806E-02,3.7806E-02,3.7814E-02,3.7891E-02,3.8685E-02,4.4422E-02,4.9353E-02,6.5127E-02,6.7973E-02,7.7327E-02,7.7576E-02,9.3761E-02,9.7695E-02,1.1987E-01,1.3929E-01,1.3930E-01,1.3958E-01,1.5549E-01,1.5599E-01,1.6241E-01,1.5996E-01,1.5993E-01,1.4232E-01,1.4224E-01,1.4222E-01,1.3942E-01,1.3942E-01,1.3936E-01,1.3602E-01,1.3471E-01,1.3470E-01,1.3222E-01,1.3082E-01,1.3076E-01,1.2475E-01,1.2474E-01,1.2295E-01,1.2242E-01,1.2242E-01,1.2242E-01,1.2234E-01,1.2065E-01,1.2065E-01
"CaCl2,aq",2.6468E-02,2.6468E-02,2.6468E-02,2.6468E-02,2.6468E-02,2.6466E-02,2.6451E-02,2.6302E-02,2.4905E-02,1.9355E-02,1.7461E-02,1.6078E-02,1.6117E-02,1.6803E-02,1.6848E-02,1.9362E-02,1.9828E-02,2.1760E-02,2.4544E-02,2.4545E-02,2.4604E-02,2.9906E-02,3.0183E-02,3.8591E-02,4.5682E-02,4.5676E-02,4.1259E-02,4.1324E-02,4.1337E-02,4.3710E-02,4.3710E-02,4.3786E-02,4.6824E-02,4.6768E-02,4.6765E-02,4.5697E-02,4.5087E-02,4.5056E-02,4.0763E-02,4.0759E-02,3.9744E-02,3.9297E-02,3.9297E-02,3.9295E-02,3.9258E-02,3.7534E-02,3.7534E-02
OH-,1.6785E-02,1.6785E-02,1.6785E-02,1.6785E-02,1.6785E-02,1.6784E-02,1.6774E-02,1.6683E-02,1.5795E-02,1.1301E-02,8.9931E-03,5.2082E-03,4.8055E-03,3.7942E-03,3.7729E-03,2.6376E-03,2.4205E-03,1.4968E-03,9.7690E-04,9.7681E-04,9.7025E-04,6.0695E-04,5.9475E-04,3.5154E-04,2.4630E-04,2.4625E-04,2.2587E-04,2.2184E-04,2.2103E-04,1.1789E-04,1.1789E-04,1.1566E-04,4.2087E-05,2.9212E-05,2.9213E-05,2.9496E-05,2.9657E-05,2.9068E-05,1.2262E-05,1.2263E-05,1.2632E-05,1.2907E-05,1.2907E-05,1.2907E-05,1.2914E-05,1.4205E-05,1.4205E-05
