Temp,H2
0.229,6.312
14.443,8.284
33.848,12.229
52.353,21.696
73.116,33.925
89.818,48.126
95.687,53.649
107.879,68.639
118.941,82.446
134.747,107.298
155.975,143.59
176.751,179.882
193.237,208.679
212.657,241.42
231.851,271.006
258.719,308.087
281.747,337.673
294.841,353.452
305.226,365.286
311.093,367.258
311.516,318.738
311.712,265.878
312.368,228.402
324.983,194.872
338.724,157.002
347.96,132.544
361.027,101.381
367.561,85.996
388.523,51.677
389.211,70.611
399.363,71.006
