Temp,H2
1.42109E-14,41.037
21.76,49.082
40.64,57.125
56.64,64.273
73.92,72.612
90.24,80.653
112.64,92.862
133.76,104.475
155.84,117.278
175.04,128.295
197.12,141.098
210.56,149.137
213.76,151.221
216.96,156.279
223.36,168.475
235.52,190.489
243.52,204.472
252.8,220.834
261.44,235.708
272,252.666
280.64,266.351
290.88,280.633
301.12,294.022
309.12,304.733
317.76,315.147
318.4,283.924
319.04,257.162
320,229.805
320.96,200.663
322.56,153.978
324.16,107.59
327.04,81.424
328.32,75.775
329.28,71.91
330.88,65.667
333.12,58.829
335.04,52.288
338.56,44.857
343.36,35.939
346.24,30.291
348.16,26.724
352,24.943
357.12,23.46
364.16,20.789
371.84,18.118
378.88,16.637
380.48,11.88
381.76,5.636
383.04,2.366
389.12,1.776
398.72,0.594
